Bib	Wave	Team	Start	End	Num Laps	Laps Started																
669	2	M20S	6:17:22	8:57:22	4	4	6:17:21	6:54:06	6:54:06	7:31:55	7:31:55	8:13:16	8:13:16	8:57:22								
556	2	M20S	6:17:23	8:50:58	4	4	6:17:23	6:55:02	6:55:02	7:32:39	7:32:41	8:11:54	8:11:54	8:50:58								
717	3	M40S	6:19:37	8:52:04	4	4	6:19:37	6:57:23	6:57:23	7:33:48	7:33:48	8:11:52	8:11:53	8:52:04								
754	2	M20S	6:17:22	9:02:26	4	4	6:17:22	6:56:12	6:56:12	7:34:09	7:34:09	8:15:57	8:15:57	9:02:26								
616	1	M30S	6:14:30	9:02:35	4	4	6:14:30	6:54:04	6:54:04	7:35:07	7:35:07	8:16:54	8:16:54	9:02:35								
551	2	M20S	6:17:22	8:57:30	4	4	6:17:21	6:56:13	6:56:13	7:35:22	7:35:22	8:15:28	8:15:29	8:57:30								
725	3	M40S	6:19:34	8:57:06	4	4	6:19:34	6:57:33	6:57:33	7:35:22	7:35:23	8:15:29	8:15:31	8:57:06								
86	1	M30S	6:19:47	8:57:38	4	4	6:19:47	6:59:10	6:59:10	7:36:38	7:36:39	8:16:03	8:16:03	8:57:38								
578	1	M30S	6:14:26	9:08:21	4	4	6:14:25	6:55:09	6:55:09	7:36:59	7:36:59	8:22:37	8:22:37	9:08:21								
525	4	MSUB20	6:22:38	13:54:59	4	4	6:22:37	7:01:00	7:01:00	7:37:19	7:37:19	8:14:59	8:14:59	13:54:59								
755	3	M40S	6:19:34	9:00:35	4	4	6:19:34	6:59:32	6:59:33	7:38:09	7:38:10	8:18:56	8:18:57	9:00:35								
558	2	M20S	6:17:22	9:05:22	4	4	6:17:21	6:58:25	6:58:25	7:39:16	7:39:16	8:21:21	8:21:21	9:05:22								
526	4	MSUB20	6:22:39	8:57:55	4	4	6:22:39	7:02:22	7:02:22	7:39:37	7:39:37	8:18:37	8:18:41	8:57:55								
543	2	M20S	6:17:24	9:02:01	4	4	6:17:24	6:59:35	6:59:35	7:39:51	7:39:51	8:20:46	8:20:46	9:02:01								
678	3	M40S	6:19:33	9:07:49	4	4	6:19:33	7:00:50	7:00:50	7:40:12	7:40:13	8:22:43	8:22:43	9:07:49								
796	3	M40S	6:19:34	9:59:20	4	4	6:19:34	7:00:49	7:00:49	7:40:26	7:40:27	8:22:55	8:22:55	9:59:20								
604	1	M30S	6:15:25	12:13:48	4	4	6:15:23	7:40:54	7:40:54	9:06:10	9:06:10	10:41:08	10:42:48	12:13:48								
563	2	M20S	6:17:26	9:04:55	4	4	6:17:26	6:59:33	6:59:33	7:41:08	7:41:08	8:22:45	8:22:45	9:04:55								
559	2	M20S	6:17:25	9:11:39	4	4	6:17:25	6:59:39	6:59:39	7:41:19	7:41:19	8:24:39	8:24:39	9:11:39								
533	2	M20S	6:17:26	9:08:02	4	4	6:17:26	7:00:51	7:00:51	7:42:00	7:42:00	8:24:50	8:24:50	9:08:02								
815	2	M20S	6:18:01	9:22:50	4	4	6:18:01	7:01:01	7:01:01	7:42:57	7:42:57	8:27:37	8:27:37	9:22:50								
83	2	M20S	6:17:26	9:14:58	4	4	6:17:26	7:00:45	7:00:45	7:43:08	7:43:08	8:26:50	8:26:50	9:14:58								
681	3	M40S	6:19:33	9:08:59	4	4	6:19:33	7:01:33	7:01:33	7:43:07	7:43:07	8:25:35	8:25:36	9:08:59								
555	3	M40S	6:19:32	9:20:13	4	4	6:19:32	7:02:36	7:02:36	7:43:10	7:43:11	8:33:05	8:33:06	9:20:13								
685	3	M40S	6:19:35	9:07:37	4	4	6:19:35	7:02:14	7:02:15	7:43:14	7:43:14	8:24:55	8:24:56	9:07:37								
94	3	M40S	6:19:32	9:08:56	4	4	6:19:32	7:02:14	7:02:14	7:43:17	7:43:17	8:25:34	8:25:34	9:08:56								
673	3	M40S	6:19:39	9:08:32	4	4	6:19:39	7:02:49	7:02:49	7:43:18	7:43:18	8:24:10	8:24:11	9:08:32								
